t,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1.0,0.0007257501,0.001175377,0.0009291596,0.00208113,0.002536744,0.002993725,0.00345178,0.003910668,0.004370203,0.004830256,0.005290711,0.005751525,0.00621259,0.006673902,0.007135419,0.007597039,0.008058863,0.008520752,0.008982776,0.009444887
2.0,0.0006957098,0.001125472,0.00159565,0.002012126,0.002463115,0.002916759,0.003372172,0.00382878,0.004286238,0.004744307,0.005202826,0.005661713,0.006120849,0.006580198,0.007039743,0.007499364,0.007959181,0.00841905,0.008879016,0.009339076
3.0,0.0006779243,0.001100633,0.001556091,0.001983833,0.002434054,0.002887023,0.00334174,0.003797604,0.004254254,0.004711452,0.005169062,0.005627,0.006085177,0.006543563,0.007002147,0.00746083,0.007919673,0.008378583,0.008837588,0.009296691
4.0,0.0006654613,0.001083744,0.001534046,0.001963713,0.002412972,0.002865048,0.003318826,0.003773714,0.004229451,0.004685738,0.005142471,0.005599572,0.006056929,0.006514504,0.006972275,0.007430165,0.007888251,0.008346445,0.008804722,0.009263098
5.0,0.0006556569,0.00107024,0.001517167,0.001947049,0.002395235,0.002846283,0.003299096,0.003753137,0.004208068,0.004663613,0.005119618,0.005575988,0.00603265,0.006489565,0.006946725,0.007404001,0.007861415,0.008318921,0.008776532,0.009234264
6.0,0.0006474098,0.001058662,0.001502833,0.001932381,0.002379498,0.002829584,0.003281575,0.003734878,0.00418913,0.004643995,0.005099359,0.005555123,0.006011193,0.006467523,0.00692404,0.007380695,0.007837527,0.00829446,0.00875149,0.009208637
7.0,0.0006401983,0.001048379,0.001490175,0.001919152,0.002365249,0.002814482,0.003265774,0.003718432,0.004172036,0.00462629,0.005081076,0.005536255,0.005991777,0.006447523,0.006903498,0.007359615,0.007815903,0.0082723,0.008728803,0.009185429
8.0,0.0006337461,0.001039066,0.001478736,0.001907051,0.002352206,0.002800715,0.003251368,0.003703388,0.004156379,0.00461008,0.005064295,0.005518997,0.005973963,0.006429205,0.00688467,0.007340285,0.007796082,0.008251999,0.008708031,0.009164192
9.0,0.0006278973,0.001030539,0.001468244,0.001895894,0.002340215,0.002788052,0.00323807,0.003689458,0.004141918,0.004595067,0.00504882,0.005503013,0.005957498,0.006412258,0.006867257,0.007322421,0.007777774,0.008233253,0.008688853,0.009144585
10.0,0.0006225484,0.001022674,0.001458556,0.00188554,0.002329103,0.002776286,0.003225674,0.003676495,0.004128448,0.00458113,0.005034412,0.005488114,0.005942158,0.006396481,0.006851054,0.007305799,0.007760738,0.008215808,0.008671005,0.009126364
11.0,0.0006176205,0.001015368,0.001449553,0.00187587,0.002318729,0.002765258,0.003214065,0.003664378,0.004115823,0.004568076,0.005020908,0.005474169,0.005927794,0.006381709,0.006835881,0.007290231,0.007744782,0.008199477,0.008654337,0.009109327
12.0,0.0006130547,0.001008549,0.00144114,0.001866815,0.002308978,0.002754881,0.003203138,0.003652982,0.004103972,0.004555766,0.005008183,0.005461042,0.005914272,0.006367799,0.006821592,0.007275578,0.007729774,0.00818414,0.008638647,0.009093279
13.0,0.0006088054,0.001002156,0.001433243,0.001858306,0.00229977,0.002745089,0.003192812,0.00364221,0.004092766,0.004544131,0.004996149,0.005448626,0.005901479,0.006354643,0.006808087,0.007261731,0.007715589,0.008169644,0.008623798,0.009078121
14.0,0.0006048332,0.0009961378,0.001425793,0.00185026,0.002291041,0.002735808,0.003183029,0.003631988,0.004082124,0.004533088,0.00498472,0.005436834,0.005889333,0.006342159,0.006795269,0.007248586,0.007702147,0.008155859,0.008609716,0.009063728
15.0,0.0006011057,0.0009904544,0.001418741,0.001842606,0.002282737,0.002726968,0.003173709,0.003622242,0.004071973,0.004522566,0.004973831,0.005425596,0.005877765,0.006330265,0.006783056,0.00723606,0.007689331,0.00814273,0.008596294,0.009050012
16.0,0.0005975949,0.0009850662,0.00141204,0.001835305,0.002274812,0.002718525,0.003164826,0.003612928,0.00406227,0.004512509,0.004963421,0.005414859,0.005866707,0.006318895,0.00677138,0.007224085,0.007677068,0.008130184,0.008583463,0.0090369
17.0,0.0005942769,0.0009799382,0.001405657,0.001828322,0.002267227,0.002710445,0.003156311,0.003604003,0.004052977,0.004502866,0.004953445,0.005404566,0.005856106,0.006307994,0.006760185,0.007212605,0.007665306,0.008118155,0.00857116,0.00902433
18.0,0.0005911313,0.0009750437,0.001399555,0.001821625,0.002259952,0.002702687,0.003148129,0.003595427,0.004044053,0.004493594,0.004943859,0.005394673,0.005845916,0.006297515,0.006749426,0.007201592,0.007654002,0.008106591,0.008559336,0.009012249
19.0,0.0005881401,0.0009703623,0.001393708,0.001815188,0.002252956,0.002695229,0.003140252,0.003587168,0.004035454,0.004484666,0.004934625,0.005385142,0.005836099,0.00628742,0.00673906,0.007190974,0.007643119,0.008095451,0.008547945,0.009000611
20.0,0.0005852889,0.0009658726,0.001388092,0.00180899,0.002246208,0.002688038,0.003132652,0.003579203,0.004027152,0.00447605,0.00492571,0.005375941,0.005826621,0.006277674,0.006729052,0.007180717,0.007632612,0.008084696,0.008536948,0.008989376
21.0,0.0005825639,0.0009615533,0.001382682,0.001803006,0.002239689,0.002681083,0.003125304,0.003571505,0.004019121,0.004467717,0.004917087,0.005367041,0.005817454,0.006268247,0.006719372,0.007170794,0.007622447,0.008074293,0.008526311,0.008978509
